"Elective_no","Course_name","Description","Teacher","Specialization","Prerequisites"
"5","Wireless Network Communications","To provide an overview of Wireless Communication networks area and its applications in communication engineering. To appreciate the contribution of Wireless Communication networks to overall technological growth. To understand the various terminology. principles. devices. schemes. concepts. algorithms and different methodologies used in Wireless Communication Networks.",1,2,1
"6","Information Security","Learn the challenges and pitfalls of Software Development and Secure Programming. across the Web. Mobile Devices and IoT. Learn the possible attacks and available remedies. Learn about security design and testing best practices.",3,0,3
"6","Web Services","To provide a brief introduction to Service Oriented Architecture. To provide a comprehensive introduction to Web Services. To impart techniques on building RESTful and SOAP-based Services. To educate the student on the security aspects of Web Services",4,2,1
"6","Algorithms for Intelligent Web","To get an understanding of search algorithms. To learn recommendation algorithms and their working.  To get an insight into clustering algorithms. To introduce classification algorithms and their use in today’s applications. To get an idea of different web applications.",4,0,0
"6","Social Network Analytics","Provide students background on concept of various types and kinds of Social Networks. their structural properties and related measures.. Enable students to understand social phenomena such as diffusion and cascades. Expose students to Strategic Networks. the incentive model for connection formation. introduce Game theory",2,2,2
"6","Computer Systems Performance Analysis","Provide students background on the art of system performance evaluation. Train students to observe workload. workloads selection. Enable students to understand capacity planning and benchmarking. Expose students to get hands on experimental analysis and design. Expose students to different queuing models",4,2,0
"6","Design Patterns","To impart design principles beyond coding. To inculcate good habits in design. To make the participants appreciate what to do and what not to do. To compare alternate design solutions. To appreciate the intricacies of design.",3,2,0
"6","Autonomous Mobile Robotics","To enable the students to have hands-on experience with mobile robots. To understand the physics of motion. To write program to operate mobile robots. To use mobile robots for accomplishing high level tasks. To enrich the mobile robotics applications to serve the society",3,2,3
"7","Introduction to Software Testing","Introduce the concepts of Software Quality and types of testing. Familiarize with different levels of testing. Understand the challengesin testmanagement.test automation. Introduction to software testing tools. Understand the advances in testing field like cloud and mobile testing.",4,3,3
"7","Introduction to Business","Understand the different types of business ownership. Understand how a modern business organization works. Understand the importance of marketing and the activities involved in it. Understand how a business organization is run and managed. Understand the activities required to set up a start-up company.",4,3,3
"7","Research Methodology","Define research and identify the systematic steps to be followed. Identify the overall process of designing a research study from inception to its report. Impart familiarity with ethical issues in educational research. including those issues that arise in using quantitative and qualitative research.",4,3,3
"7","Technical Writing","Introduce fundamental concepts of technical documents. Teach about different types of documentation required – Technical Manuals. User Manuals and Support/ Maintenance Manuals. Introduce technologies related to editing – Online Help. In-app help. etc. Introduce the art of making effective presentations.",4,3,3
